EXPOCODE,Institute,END,chief_investigator,ship_records,,cruise_report_citation,EXPOCODE_synonyms,profile_citation,underway_citation,pigment_citation,POC_citation
33LG20060101,Palmer LTER - NSF,20060209,Langdon Quetin,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,"LMG06-01, lmg9901",PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33LG20070101,Palmer LTER - NSF,20070211,Hugh Ducklow,https://www.usap.gov/usapgov/vesselscienceandoperations/,,33LG20070101_report_a; 33LG20070101_report_b; 33LG20070101_report_c; LMG_report,LMG07-01,PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33LG20071230,Palmer LTER - NSF,20080209,Langdon Quetin,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,LMG08-01,PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33LG20081230,Palmer LTER - NSF,20090206,Douglas Martinson,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,LMG09-01,PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33LG20091230,Palmer LTER - NSF,20100207,Douglas Martinson,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,LMG10-01,PAL-LTER_prof,,PAL-LTER_pig_chl,PAL-LTER_poc
33LG20110101,Palmer LTER - NSF,20110107,Douglas Martinson,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,LMG11-01,PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33LG20111229,Palmer LTER - NSF,20120207,Douglas Martinson,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,LMG12-01,PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33LG20121230,Palmer LTER - NSF,20130207,Douglas Martinson,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,LMG13-01,PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33LG20131229,Palmer LTER - NSF,20140209,Douglas Martinson,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,LMG14-01,PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33LG20141227,Palmer LTER - NSF,20150208,"Deborah Steinberg,",https://www.usap.gov/usapgov/vesselscienceandoperations/,,,LMG15-01,PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33LG20160103,Palmer LTER - NSF,20160217,Hugh Ducklow,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,LMG16-01,PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33LG20161230,Palmer LTER - NSF,20170210,Hugh Ducklow,https://www.usap.gov/usapgov/vesselscienceandoperations/,,33LG20161230_report_a; 33LG20161230_report_b; 33LG20161230_report_c; LMG_report,LMG17-01,PAL-LTER_prof,33LG20161230_uwy,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33PD19911107,Palmer LTER - NSF,19911121,Langdon Quetin,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,"PD91-09, pd9109",PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33PD19930829,Palmer LTER - NSF,19930208,Langdon Quetin,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,"PD93-01, pd9301",PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33PD19931008,Palmer LTER - NSF,19930924,Langdon Quetin,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,"PD93-07, pd9307",PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
33PD19940111,Palmer LTER - NSF,19940207,Robin M. Ross,https://www.usap.gov/usapgov/vesselscienceandoperations/,,,"PD94-01, pd9401",PAL-LTER_prof,,PAL-LTER_pig_chl; PAL-LTER_pig_hplc,PAL-LTER_poc
